id,lower,upper,i_low,i_high,root,level,description
0,0,982,706,982,root,0,Determine Topic
1,0,973,35,141,,1,DBI
2,55,973,564,895,,2,plogr
3,593,904,627,826,,3,stats4
4,55,973,175,568,,3,udunits2
5,177,930,273,919,,4,wdman
6,177,891,204,571,,5,htmlwidgets
7,627,904,677,680,,4,rjson
8,682,904,685,716,,5,sf
9,285,930,285,696,,5,pillar
10,217,891,268,891,,6,jsonlite
11,0,802,23,716,,2,nnet
12,312,930,415,493,,6,graphics
13,55,973,55,795,,4,memoise
14,312,930,316,930,,7,mapproj
15,423,928,508,708,,7,cluster
16,510,816,531,559,,8,viridis
17,0,802,5,578,,3,rpart
18,737,955,737,852,,1,Rcpp
19,423,928,487,530,,8,pacman
20,423,928,454,823,,9,RColorBrewer
21,10,802,16,634,,4,rlang
22,510,816,521,786,,9,markdown
23,593,799,593,799,,4,highr
24,423,928,453,727,,10,RMariaDB
25,560,785,560,718,,9,XML
26,312,849,312,849,,8,raster
27,423,928,433,634,,11,tcltk
28,217,868,218,849,,7,htmltools
29,741,955,741,873,,2,rmarkdown
30,177,823,193,823,,6,xml2
31,751,955,807,925,,3,shiny
32,627,873,627,739,,5,units
33,751,930,798,930,,4,htmltools
34,457,805,461,805,,10,Matrix
35,903,955,954,955,,4,visNetwork
36,222,868,231,619,,8,methods
37,751,911,762,812,,5,R6
38,751,911,751,911,,6,Cosplay
39,56,973,61,215,,5,tools
40,177,677,177,677,,7,evaluate
41,63,973,116,255,,6,backports
42,423,739,423,739,,12,Michael Jackson
43,328,910,403,569,,8,openssl
44,560,785,560,785,,10,Haute Couture
45,63,744,88,675,,7,mime
46,629,873,629,873,,6,crayon
47,315,476,315,476,,9,Harajuku Street Style
48,525,686,525,686,,10,Hip-Hop
49,0,339,0,339,,4,Dino-suit
50,63,744,63,744,,8,purrr
51,24,620,24,248,,3,ggplot2
52,328,910,338,910,,9,e1071
53,461,679,461,679,,11,colorspace
54,90,214,109,214,,8,maps
55,217,643,217,643,,8,Chunky
56,124,973,156,973,,7,RProtoBuf
57,357,795,374,434,,10,utils
58,903,945,903,945,,5,Zebra Suit
59,630,860,675,860,,7,IVRProtoR
60,248,656,264,466,,9,RgoogleMaps
61,478,669,479,625,,12,Lumberjack
62,222,868,228,868,,9,viridisLite
63,160,789,160,524,,8,rstudioapi
64,185,346,185,346,,8,Norm-Core
65,328,634,328,333,,10,tibble
66,268,394,268,394,,7,Donald Trump
67,34,620,34,620,,4,Marshmello man
68,248,656,251,656,,10,RSelenium
69,56,468,56,468,,6,Candy Raver
70,357,795,360,624,,11,dplyr
71,478,669,478,669,,13,Laural and Hardey
72,435,928,435,840,,12,R6
73,66,673,66,673,,9,semver
74,365,795,365,795,,12,80’s Punk
75,248,461,248,461,,11,Preppy
76,510,816,510,816,,10,Hot Dog
77,10,802,10,802,,5,Cinderalla
78,124,653,136,524,,8,iterators
79,605,632,605,632,,5,Birthday Suit
80,401,781,401,781,,11,Crocks
81,682,904,682,904,,6,Black Tie
82,689,890,689,890,,6,Smart Casual
83,161,789,170,789,,9,bindr
84,630,837,669,837,,8,spatial
85,90,95,90,95,,9,Cocktail Dress
86,79,479,79,185,,10,tidyselect
87,357,758,357,758,,12,La Derelict’
88,437,928,437,928,,13,Clown Suit
89,482,651,482,651,,13,Canadian Suit
90,222,332,222,332,,10,Cocaine chic
91,81,479,81,479,,11,stringr
92,457,602,457,602,,11,digest
93,161,526,161,245,,10,lubridate
94,86,415,86,415,,12,Cher
95,332,634,332,634,,11,Beatneck Outfit
96,166,526,166,526,,11,Tuxedo
97,460,519,460,519,,12,Jodphers
98,630,689,630,689,,9,Budgie Smugglers
99,124,653,124,653,,9,White Tie
